vendor;nomor_kontainer;size;tanggal_awal;tanggal_akhir;tarif;adjustment;group;status
ZONA;CLHU3586854;20;2025-02-21;2025-03-20;675676;0;Z53;ongoing
ZONA;CXDU1108921;20;2025-02-21;2025-03-20;675676;0;Z53;ongoing
ZONA;CXDU1212730;20;2025-02-21;2025-03-20;675676;0;Z53;ongoing
ZONA;DFSU2296934;20;2025-02-21;2025-03-20;675676;0;Z53;ongoing
ZONA;GATU1019864;20;2025-02-21;2025-03-20;675676;0;Z53;ongoing
ZONA;GESU1386736;20;2025-02-21;2025-03-20;675676;0;Z53;ongoing
ZONA;GESU1449670;20;2025-02-21;2025-03-20;675676;0;Z53;ongoing
ZONA;HALU3509311;20;2025-02-21;2025-03-20;675676;0;Z53;ongoing
ZONA;ILSU2019602;20;2025-02-21;2025-03-20;675676;0;Z53;ongoing
ZONA;MSCU3213686;20;2025-02-21;2025-03-20;675676;0;Z53;ongoing
ZONA;TEMU2353770;20;2025-02-21;2025-03-20;675676;0;Z53;ongoing
ZONA;TGHU1246275;20;2025-02-21;2025-03-20;675676;0;Z53;ongoing
