Awalan Kontainer;Nomor Seri;Akhiran;Ukuran;Vendor;Nomor Kontainer;
HJMU;290715;9;20;PT. ZONA LINTAS SAMUDERA;2907159;
HLXU;233670;0;20;PT. ZONA LINTAS SAMUDERA;2336700;
HMCU;306203;2;20;PT. ZONA LINTAS SAMUDERA;3062032;
IALU;220111;4;20;PT. ZONA LINTAS SAMUDERA;2201114;
IFLU;299038;0;20;PT. ZONA LINTAS SAMUDERA;2990380;
IIKU;296190;2;20;PT. ZONA LINTAS SAMUDERA;2961902;
ILSU;201960;2;20;PT. ZONA LINTAS SAMUDERA;2019602;
ILSU;202585;8;20;PT. ZONA LINTAS SAMUDERA;2025858;
INBU;346855;0;20;PT. ZONA LINTAS SAMUDERA;3468550;
INBU;374778;7;20;PT. ZONA LINTAS SAMUDERA;3747787;
INBU;389506;4;20;PT. ZONA LINTAS SAMUDERA;3895064;
INKU;221455;4;40;PT. ZONA LINTAS SAMUDERA;2214554;
INKU;253730;4;40;PT. ZONA LINTAS SAMUDERA;2537304;
INKU;561639;3;40;PT. ZONA LINTAS SAMUDERA;5616393;
INKU;637347;2;40;PT. ZONA LINTAS SAMUDERA;6373472;
INKU;674429;8;40;PT. ZONA LINTAS SAMUDERA;6744298;
INKU;709288;6;40;PT. ZONA LINTAS SAMUDERA;7092886;
IPXU;216109;3;20;PT. ZONA LINTAS SAMUDERA;2161093;
IPXU;308130;4;20;PT. ZONA LINTAS SAMUDERA;3081304;
IPXU;321990;2;20;PT. ZONA LINTAS SAMUDERA;3219902;
